Jahr,ZH,"BE, JU",BE,LU,UR,SZ,OW,NW,GL,ZG,FR,SO,BS,BL,SH,AR,AI,SG,GR,AG,TG,TI,VD,VS,NE,GE,JU,unb./inc.,CH,Anee
1801,5860,,,3317,,,401,274,921,,,,496,1005,,1476,460,,,,,,4489,,1585,,,0,61400,1801
1802,6663,,,3488,,,412,321,1031,,,,560,1010,,1504,454,,,,,,5046,,1562,,,0,66700,1802
1803,6782,,,3506,,,399,321,850,,,,521,1032,,1472,446,,,,,,4486,,1581,,,0,64700,1803
1804,6571,,,3498,,,385,317,792,,,,531,949,,1485,490,,,,,,4618,,1606,,,0,64300,1804
1805,6668,,,3561,,,365,315,912,,,,512,1044,,1485,454,4851,,,,,4772,,1606,,,0,65600,1805
1806,6563,,,3340,,,388,296,832,,,,480,1053,,1495,471,5120,,,,,4529,,1594,,,0,63700,1806
1807,6268,,,3677,,,389,324,823,,2318,1618,471,979,,1566,459,5280,,,2823,,4479,,1572,,,0,63600,1807
1808,6515,,,3808,,,327,302,796,,,,494,1085,,1730,486,5473,,,2885,,4466,,1446,,,0,64900,1808
1809,6753,,,3807,,,359,302,867,,,1701,467,1084,,1650,489,5527,,,2988,,4572,,1566,,,0,66300,1809
1810,6603,,,3776,,,370,289,884,,,1697,487,1050,,1656,515,5347,,,2964,,4412,,1486,,,0,65100,1810
1811,6976,,,3861,,,381,306,950,,,1646,500,1090,,1689,506,5285,,,2966,,4350,,1480,,,0,66800,1811
1812,6985,,,3792,,,370,316,888,,,1746,513,1101,,1403,426,5315,,,2944,,4454,,1460,,,0,65700,1812
1813,6461,,,3562,,,341,266,872,,,1634,511,1087,,1294,376,5000,,,2989,,4427,,1408,,,0,62300,1813
1814,6672,,,3517,,,342,293,815,,,1665,421,1046,,1466,407,5025,,,2807,,4506,,1481,,,0,63500,1814
1815,6740,,,3775,,,373,335,924,,,1729,590,1277,,1696,473,5263,,,3106,,4593,,1567,,,0,67600,1815
1816,6702,,,3561,,,360,281,937,,,1550,511,1032,,1602,442,5279,,5153,2940,,4541,,1572,,,0,65100,1816
1817,5531,9592,,2785,,,348,272,721,,2152,1363,488,1005,,1082,300,3969,,4781,2371,,4067,,1378,,,0,53200,1817
1818,5195,9971,,2848,,,327,261,569,,2183,1503,480,981,,718,205,3145,,4712,2059,,3852,,1215,,,0,48800,1818
1819,7571,12306,,3702,,,383,299,941,,2533,1807,520,1204,,1371,391,5179,,5967,2897,,4553,,1420,,,0,67600,1819
1820,7466,12563,,3693,,,398,311,971,,2516,1765,497,1123,,1374,389,5310,,6008,3157,,4783,,1455,,,0,68300,1820
1821,7318,12129,,3602,,,383,302,947,,2493,,543,1142,,1387,433,5143,,6048,3066,,5139,,1381,,,0,67900,1821
1822,7148,11976,,3741,,1237,394,344,999,,2550,1738,503,1192,,1547,421,5342,,5838,2918,,5003,,1341,,,0,67500,1822
1823,7240,12607,,3766,,,403,355,995,,2599,1840,512,1179,,1525,432,5494,,6278,3000,,4972,,1422,,,0,68900,1823
1824,7325,12231,,3673,,,387,348,984,,2600,1869,487,1150,,1502,464,5351,,6134,2932,,5122,,1386,,,0,68600,1824
1825,7184,11802,,3531,,,364,352,1055,,2645,1734,517,1165,,1525,417,5343,,5767,2770,,5135,,1457,,,0,67100,1825
1826,7607,12719,,3590,391,,390,362,1055,,2675,,521,1192,,1547,451,5459,,6315,2903,,5166,,1434,,,0,70200,1826
1827,6901,12363,,3492,,,349,337,1035,,2518,,509,1226,,1363,457,5491,,6051,2806,,5205,,1453,,,0,67000,1827
1828,7142,12605,,3511,,1412,361,320,1047,,2665,,483,1194,,1468,432,5553,,6101,2780,,5373,,1588,,,0,68500,1828
1829,7132,12591,,3564,,1354,330,336,1043,,2643,1759,547,1216,,1428,422,5403,,5780,2585,,5247,,1526,,,0,67200,1829
1830,7204,13047,,3568,,,339,306,1042,,,,522,1269,,1526,426,5188,,6119,2842,,5437,,1635,,,0,68600,1830
1831,7286,12915,,3591,,,344,323,1097,,,1894,511,1292,,1442,392,5331,,6285,2735,,5312,,1618,,,0,69000,1831
1832,7205,12252,,3560,,,313,278,1042,,,1677,548,1195,,1247,360,4981,,5724,2604,,5237,,1550,,,0,66200,1832
1833,7613,12021,,3767,,,340,307,1053,,2687,1834,541,1263,,1357,389,5189,,5914,2623,,5450,,1595,1374,,0,69200,1833
1834,8041,13656.84378,,3693,,,316,305,1190,,2825,1886,558,1323,,1459,410,5327,,6208,2908,,5681,,1738,1408,,0,72600,1834
1835,8272,13814.88607,,3844,,,331,287,1107,,2802,1937,552,1350,,1439,411,5425,,6422,2962,,5555,,1852,1453,,0,74000,1835
1836,8194,14071.29036,,3928,,,319,311,1226,,2821,1970,534,1411,,1484,423,5338,,6304,2776,,5712,,1922,1532,,0,74000,1836
1837,8226,13859.09371,,3938,,,324,318,1206,,2803,1962,506,1335,,1497,398,5674,,6209,2944,,5434,,1898,1500,,0,74000,1837
1838,8209,13965.19203,,3939,,,332,307,1201,,2882,2066,580,1385,,1476,409,5572,,6321,3042,3431,5560,,1874,1502,,0,74500,1838
1839,7732,13871,,4081,,,358,325,1308,,2997,2102,568,1441,,1522,412,5696,,6479,2906,,5599,,2041,1467,,0,74100,1839
1840,7699,14466,,4206,385,1625,355,348,1334,,3082,1940,561,1467,1344,1535,452,5997,,6703,3026,,5497,,1971,1442,,0,75200,1840
1841,7531,15202,,4310,379,1617,415,329,1218,,3113,2196,580,1573,1474,1575,442,5918,,6805,3044,,5620,,2049,1473,,0,75500,1841
1842,7499,15090,,4332,363,1639,401,355,1335,,3029,2176,633,1591,1189,1477,405,5887,,6819,2948,,5614,,2119,1386,,0,75000,1842
